time_s,T_fault_Nm,T_fault_over_T_nom_percent,omega_m_rad_per_s,abs_i_s_peak_A
3.920784156831366545e-03,-4.775135621412765090e+02,-3.651592944590170191e+02,1.231504320207198901e+02,2.748926220355584746e+02
3.960792158431686479e-03,-4.797115467295487292e+02,-3.668401147856401394e+02,1.231504320207198901e+02,2.774299771012068163e+02
4.000800160032007280e-03,-4.818101474882231514e+02,-3.684449353250869308e+02,1.231504320207198901e+02,2.799457525918971896e+02
4.040808161632327214e-03,-4.838093831093799508e+02,-3.699737703713739734e+02,1.231504320207198901e+02,2.824398594708846986e+02
4.080816163232647148e-03,-4.857092939979761468e+02,-3.714266508225673533e+02,1.231504320207198901e+02,2.849122104938398365e+02
4.120824164832967082e-03,-4.875099421488479834e+02,-3.728036240867252218e+02,1.231504320207198901e+02,2.873627201876724939e+02
4.160832166433287016e-03,-4.892114110196446859e+02,-3.741047539847285179e+02,1.231504320207198901e+02,2.897913048307454460e+02
4.200840168033606950e-03,-4.908138053997452062e+02,-3.753301206500411240e+02,1.231504320207198901e+02,2.921978824343660790e+02
4.240848169633927751e-03,-4.923172512752049101e+02,-3.764798204254325924e+02,1.231504320207198901e+02,2.945823727254494884e+02
4.280856171234247685e-03,-4.937218956897833664e+02,-3.775539657567048835e+02,1.231504320207198901e+02,2.969446971302599536e+02
4.320864172834567619e-03,-4.950279066021041103e+02,-3.785526850834613697e+02,1.231504320207198901e+02,2.992847787591436486e+02
4.360872174434887553e-03,-4.962354727389992490e+02,-3.794761227269576125e+02,1.231504320207198901e+02,3.016025423921735182e+02
4.400880176035207487e-03,-4.973448034450877344e+02,-3.803244387750726219e+02,1.231504320207198901e+02,3.038979144656329936e+02
4.440888177635527422e-03,-4.983561285286436373e+02,-3.810978089644426632e+02,1.231504320207198901e+02,3.061708230592728910e+02
4.480896179235848223e-03,-4.992696981038044441e+02,-3.817964245597967192e+02,1.231504320207198901e+02,3.084211978842798203e+02
