time_s,T_fault_Nm,T_fault_over_T_nom_percent,T_envelope_Nm,T_envelope_over_T_nom_percent
1.494298859771954480e-01,4.566558945140677256e-02,3.492092318876868773e-02,4.566819490098506656e-02,3.492291560156109143e-02
1.494698939787957870e-01,4.555305830929733818e-02,3.483486952304014339e-02,4.555344100522917133e-02,3.483516217436471302e-02
1.495099019803960982e-01,4.543087720242108829e-02,3.474143643480891858e-02,4.543897546018709627e-02,3.474762925178132705e-02
1.495499099819964095e-01,4.529912196403058228e-02,3.464068191450542927e-02,4.532479754129815214e-02,3.466031627973226864e-02
1.495899179835967485e-01,4.515787019364998073e-02,3.453266530324526629e-02,4.521090652582254732e-02,3.457322270553136317e-02
1.496299259851970598e-01,4.500720123080894502e-02,3.441744727274328314e-02,4.509730169283680812e-02,3.448634797788135281e-02
1.496699339867973710e-01,4.484719612851733456e-02,3.429508980502939119e-02,4.498398232322851908e-02,3.439969154686995517e-02
1.497099419883977101e-01,4.467793762649024947e-02,3.416565617197351440e-02,4.487094769969252744e-02,3.431325286396688656e-02
1.497499499899980213e-01,4.449951012412847740e-02,3.402921091462345754e-02,4.475819710672604423e-02,3.422703138202017742e-02
1.497899579915983326e-01,4.431199965326217127e-02,3.388581982236174572e-02,4.464572983062416872e-02,3.414102655525268204e-02
1.498299659931986716e-01,4.411549385066585588e-02,3.373554991188756902e-02,4.453354515947538506e-02,3.405523783925870629e-02
1.498699739947989829e-01,4.391008193035127877e-02,3.357846940602886299e-02,4.442164238315704505e-02,3.396966469100052427e-02
1.499099819963992941e-01,4.369585465564534976e-02,3.341464771239003456e-02,4.431002079333096894e-02,3.388430656880497827e-02
1.499499899979996331e-01,4.347290431106081571e-02,3.324415540184117585e-02,4.419867968343853259e-02,3.379916293235978725e-02
1.499899979995999444e-01,4.324132467396839957e-02,3.306706418685548265e-02,4.408761834869705243e-02,3.371423324271072969e-02
1.500300060012002556e-01,4.300121098607399134e-02,3.288344689969761175e-02,4.397683608609450484e-02,3.362951696225762593e-02
1.500700140028005947e-01,4.275265992471195819e-02,3.269337747047133119e-02,4.386633219438520331e-02,3.354501355475104224e-02
1.501100220044009059e-01,4.249576957396187377e-02,3.249693090503225773e-02,4.375610597408605140e-02,3.346072248528941112e-02
1.501500300060012172e-01,4.223063939559143498e-02,3.229418326276759649e-02,4.364615672747104713e-02,3.337664322031482639e-02
1.501900380076015284e-01,4.195737019984002725e-02,3.208521163425405442e-02,4.353648375856781355e-02,3.329277522761039249e-02
1.502300460092018675e-01,4.167606411604334732e-02,3.187009411879417747e-02,4.342708637315240844e-02,3.320911797629627626e-02
1.502700540108021787e-01,4.138682456311287838e-02,3.164890980184176944e-02,4.331796387874577853e-02,3.312567093682697306e-02
1.503100620124024900e-01,4.108975621987084187e-02,3.142173873231667025e-02,4.320911558460870106e-02,3.304243358098742783e-02
1.503500700140028290e-01,4.078496499525406660e-02,3.118866189981943371e-02,4.310054080173736368e-02,3.295940538188968372e-02
1.503900780156031403e-01,4.047255799839164642e-02,3.094976121174936382e-02,4.299223884285981179e-02,3.287658581397014806e-02
1.504300860172034515e-01,4.015264350856107001e-02,3.070511947032969827e-02,4.288420902243054306e-02,3.279397435298547769e-02
1.504700940188037905e-01,3.982533094503553500e-02,3.045482034954955300e-02,4.277645065662686458e-02,3.271157047600976170e-02
1.505101020204041018e-01,3.949073083682664437e-02,3.019894837202586821e-02,4.266896306334463235e-02,3.262937366143128098e-02
1.505501100220044131e-01,3.914895479232786274e-02,2.993758888578944288e-02,4.256174556219321364e-02,3.254738338894865024e-02
1.505901180236047521e-01,3.880011546887052881e-02,2.967082804100415125e-02,4.245479747449193431e-02,3.246559913956813953e-02
1.506301260252050633e-01,3.844432654219763490e-02,2.939875276662321651e-02,4.234811812326544356e-02,3.238402039560005219e-02
1.506701340268053746e-01,3.808170267586001578e-02,2.912145074698618830e-02,4.224170683323945352e-02,3.230264664065553987e-02
1.507101420284057136e-01,3.771235949054752706e-02,2.883901039836620286e-02,4.213556293083650650e-02,3.222147735964332738e-02
1.507501500300060249e-01,3.733641353335768326e-02,2.855152084546938238e-02,4.202968574417167286e-02,3.214051203876644447e-02
1.507901580316063361e-01,3.695398224701165052e-02,2.825907189789403709e-02,4.192407460304840849e-02,3.205975016551900619e-02
1.508301660332066751e-01,3.656518393902260383e-02,2.796175402655337594e-02,4.181872883895391274e-02,3.197919122868275732e-02
1.508701740348069864e-01,3.617013775082809218e-02,2.765965834007074950e-02,4.171364778505574217e-02,3.189883471832439393e-02
1.509101820364072977e-01,3.576896362688599534e-02,2.735287656114701593e-02,4.160883077619652315e-02,3.181868012579155275e-02
1.509501900380076089e-01,3.536178228374867172e-02,2.704150100291122585e-02,4.150427714889057262e-02,3.173872694371025066e-02
1.509901980396079479e-01,3.494871517911794095e-02,2.672562454525669040e-02,4.139998624131933230e-02,3.165897466598135979e-02
1.510302060412082592e-01,3.452988448089048396e-02,2.640534061116966633e-02,4.129595739332722615e-02,3.157942278777744333e-02
1.510702140428085705e-01,3.410541303619715747e-02,2.608074314305345101e-02,4.119218994641758724e-02,3.150007080553965388e-02
1.511102220444089095e-01,3.367542434044635408e-02,2.575192657905549937e-02,4.108868324374810588e-02,3.142091821697425708e-02
1.511502300460092207e-01,3.324004250637976887e-02,2.541898582940409906e-02,4.098543663012741561e-02,3.134196452104999475e-02
1.511902380476095320e-01,3.279939223314010804e-02,2.508201625275412183e-02,4.088244945201024994e-02,3.126320921799440045e-02
1.512302460492098710e-01,3.235359877536721218e-02,2.474111363255454207e-02,4.077972105749338994e-02,3.118465180929072197e-02
1.512702540508101823e-01,3.190278791232255967e-02,2.439637415343762564e-02,4.067725079631215324e-02,3.110629179767517710e-02
1.513102620524104935e-01,3.144708591705099726e-02,2.404789437763662358e-02,4.057503801983535635e-02,3.102812868713314756e-02
1.513502700540108326e-01,3.098661952558662280e-02,2.369577122143718892e-02,4.047308208106189381e-02,3.095016198289657003e-02
1.513902780556111438e-01,3.052151590621149380e-02,2.334010193166922986e-02,4.037138233461661646e-02,3.087239119144074076e-02
1.514302860572114551e-01,3.005190262876790072e-02,2.298098406223968160e-02,4.026993813674566852e-02,3.079481582048079411e-02
1.514702940588117941e-01,2.957790763403710110e-02,2.261851545071615066e-02,4.016874884531305284e-02,3.071743537896904491e-02
1.515103020604121054e-01,2.909965920318985030e-02,2.225279419496541469e-02,4.006781381979627327e-02,3.064024937709166480e-02
1.515503100620124166e-01,2.861728592730954437e-02,2.188391862984748887e-02,3.996713242128228927e-02,3.056325732626560474e-02
1.515903180636127556e-01,2.813091667700369156e-02,2.151198730397720429e-02,3.986670401246353995e-02,3.048645873913553503e-02
1.516303260652130669e-01,2.764068057210205404e-02,2.113709895655210141e-02,3.976652795763385012e-02,3.040985312957072279e-02
1.516703340668133781e-01,2.714670695145246504e-02,2.075935249425496509e-02,3.966660362268450285e-02,3.033344001266202739e-02
1.517103420684137172e-01,2.664912534281745418e-02,2.037884696823351327e-02,3.956693037509990268e-02,3.025721890471857675e-02
1.517503500700140284e-01,2.614806543288351534e-02,1.999568155116616605e-02,3.946750758395427272e-02,3.018118932326525547e-02
1.517903580716143397e-01,2.564365703737913130e-02,1.960995551441102602e-02,3.936833461990674882e-02,3.010535078703895431e-02
1.518303660732146509e-01,2.513603007132023462e-02,1.922176820525226329e-02,3.926941085519811830e-02,3.002970281598604796e-02
1.518703740748149900e-01,2.462531451937751900e-02,1.883121902423973495e-02,3.917073566364654563e-02,2.995424493125916146e-02
1.519103820764153012e-01,2.411164040638170275e-02,1.843840740263406885e-02,3.907230842064360332e-02,2.987897665521411714e-02
1.519503900780156125e-01,2.359513776796240761e-02,1.804343277995390515e-02,3.897412850315049027e-02,2.980389751140705493e-02
1.519903980796159515e-01,2.307593662133670259e-02,1.764639458163763663e-02,3.887619528969363247e-02,2.972900702459103581e-02
1.520304060812162628e-01,2.255416693624707689e-02,1.724739219681938052e-02,3.877850816036153281e-02,2.965430472071367909e-02
1.520704140828165740e-01,2.202995860605298437e-02,1.684652495622238760e-02,3.868106649680016357e-02,2.957979012691360973e-02
1.521104220844169130e-01,2.150344141898926156e-02,1.644389211018009236e-02,3.858386968220908070e-02,2.950546277151748498e-02
1.521504300860172243e-01,2.097474502958945886e-02,1.603959280678324967e-02,3.848691710133820415e-02,2.943132218403754843e-02
1.521904380876175356e-01,2.044399893028315748e-02,1.563372607016012480e-02,3.839020814048293984e-02,2.935736789516790041e-02
1.522304460892178746e-01,1.991133242317158838e-02,1.522639077889302063e-02,3.829374218748103631e-02,2.928359943678205887e-02
1.522704540908181858e-01,1.937687459199081974e-02,1.481768564457826808e-02,3.819751863170865736e-02,2.921001634193001392e-02
1.523104620924184971e-01,1.884075427425858582e-02,1.440770919052663211e-02,3.810153686407589946e-02,2.913661814483475138e-02
1.523504700940188361e-01,1.830310003362237148e-02,1.399655973061760851e-02,3.800579627702365543e-02,2.906340438088987274e-02
1.523904780956191474e-01,1.776404013240484581e-02,1.358433534830467103e-02,3.791029626451942330e-02,2.899037458665639291e-02
1.524304860972194586e-01,1.722370250435298691e-02,1.317113387577623085e-02,3.781503622205354548e-02,2.891752829985986400e-02
1.524704940988197976e-01,1.668221472760055349e-02,1.275705287327980227e-02,3.772001554663514250e-02,2.884486505938725284e-02
1.525105021004201089e-01,1.613970399784645654e-02,1.234218960861122386e-02,3.762523363678889343e-02,2.877238440528450542e-02
1.525505101020204202e-01,1.559629710174983454e-02,1.192664103676961337e-02,3.753068989255065047e-02,2.870008587875315376e-02
1.525905181036207314e-01,1.505212039055283529e-02,1.151050377978646115e-02,3.743638371546369886e-02,2.862796902214749875e-02
1.526305261052210704e-01,1.450729975393453414e-02,1.109387410673145537e-02,3.734231450857533607e-02,2.855603337897196295e-02
1.526705341068213817e-01,1.396196059409710206e-02,1.067684791389592394e-02,3.724848167643277086e-02,2.848427849387796806e-02
1.527105421084216930e-01,1.341622780009301893e-02,1.025952070516060292e-02,3.715488462507948036e-02,2.841270391266115247e-02
1.527505501100220320e-01,1.287022572239440200e-02,9.841987572548555399e-03,3.706152276205139373e-02,2.834130918225843954e-02
1.527905581116223432e-01,1.232407814771473327e-02,9.424343176971100924e-03,3.696839549637319366e-02,2.827009385074522041e-02
1.528305661132226545e-01,1.177790827407721765e-02,9.006681729162335434e-03,3.687550223855459025e-02,2.819905746733250215e-02
1.528705741148229935e-01,1.123183868614608533e-02,8.589096970814752430e-03,3.678284240058630333e-02,2.812819958236383380e-02
1.529105821164233048e-01,1.068599133081710520e-02,8.171682155913056328e-03,3.669041539593698859e-02,2.805751974731295409e-02
1.529505901180236160e-01,1.014048749307121938e-02,7.754530032269203732e-03,3.659822063954889376e-02,2.798701751478047117e-02
1.529905981196239551e-01,9.595447772101271811e-03,7.337732823266285460e-03,3.650625754783424354e-02,2.791669243849110443e-02
1.530306061212242663e-01,9.050992057712457101e-03,6.921382209811709901e-03,3.641452553867208924e-02,2.784654407329126974e-02
1.530706141228245776e-01,8.507239506996690931e-03,6.505569312499873309e-03,3.632302403140380553e-02,2.777657197514563428e-02
1.531106221244249166e-01,7.964308521290729137e-03,6.090384673991800640e-03,3.623175244683005808e-02,2.770677570113478858e-02
1.531506301260252279e-01,7.422316723421688855e-03,5.675918241614580188e-03,3.614071020720686922e-02,2.763715480945226621e-02
1.531906381276255391e-01,6.881380935235414595e-03,5.262259350177080075e-03,3.604989673624198893e-02,2.756770885940174401e-02
1.532306461292258781e-01,6.341617155423254909e-03,4.849496705013869348e-03,3.595931145909127963e-02,2.749843741139428380e-02
1.532706541308261894e-01,5.803140537642202494e-03,4.437718365253474385e-03,3.586895380235503167e-02,2.742934002694551177e-02
1.533106621324265006e-01,5.266065368932354614e-03,4.027011727314000304e-03,3.577882319407443834e-02,2.736041626867293311e-02
1.533506701340268397e-01,4.730505048440223487e-03,3.617463508632637759e-03,3.568891906372763378e-02,2.729166570029288932e-02
1.533906781356271509e-01,4.196572066448097001e-03,3.209159731629210397e-03,3.559924084222673007e-02,2.722308788661831000e-02
1.534306861372274622e-01,3.664377983709008694e-03,2.802185707903422519e-03,3.550978796191366083e-02,2.715468239355551053e-02
1.534706941388277734e-01,3.134033411096472013e-03,2.396626022672813505e-03,3.542055985655658684e-02,2.708644878810146858e-02
1.535107021404281125e-01,2.605647989568892105e-03,1.992564519451347008e-03,3.533155596134670423e-02,2.701838663834135040e-02
